timestamp,value,source_table,source_db
20250924T000831,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T000856,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T000921,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T000946,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001011,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001035,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001100,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001125,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001150,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001215,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001240,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001305,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001329,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001354,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001419,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001444,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001508,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001533,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001558,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001623,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001648,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001712,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001737,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001802,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001826,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001851,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001916,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T001941,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002006,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002030,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002055,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002120,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002144,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002209,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002234,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002259,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002323,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002348,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002413,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002438,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002502,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002527,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002552,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002617,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002641,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002706,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002731,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002756,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002821,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002845,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002910,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T002935,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003000,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003024,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003049,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003114,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003139,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003203,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003228,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003253,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003318,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003343,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003407,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003432,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003457,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003521,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003546,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003611,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003636,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003701,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003725,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003750,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003815,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003839,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003904,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003929,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T003954,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004018,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004043,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004108,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004133,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004158,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004222,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004247,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004312,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004337,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004402,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004426,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004452,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004516,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004541,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004606,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004631,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004656,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004720,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004745,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004809,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004834,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004859,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004924,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T004949,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005014,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005038,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005103,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005128,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005153,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005217,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005242,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005307,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005332,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005356,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005421,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005446,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005511,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
20250924T005535,55.0,cnt:Humidity,/home/parks/tinyIoT/source/server/data.db
