timestamp,value,source_table,source_db
20250924T000746,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T000811,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T000836,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T000901,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T000926,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T000951,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001016,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001041,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001105,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001130,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001155,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001220,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001245,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001310,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001334,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001359,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001424,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001449,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001514,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001538,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001603,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001628,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001653,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001717,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001742,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
20250924T001806,24.0,cnt:Temperature,/home/parks/tinyIoT/source/server/data.db
