absoluteEnergyConsumption,abECn
absoluteStartTime,abSTe
absoluteStopTime,abST0
acousticSensor,acoSr
acousticStatus,acoSs
activate,actie
activateClockTimer,acCTr
address,addrs
adfStates,adfSs
airCleanOperationMode,aCOM0
airConJobMode,aCJMe
airConOperationMode,aCOMe
airFlow,airFw
airPressure,airPe
airPurifierJobMode,aPJMe
airPurifierOperationMode,aPOMe
airQualitySensor,aiQSr
alarm,alarm
alarmSpeaker,alaSr
alarmStatus,alaSs
alarmTimestamp,alaTp
algae,algae
altitude,altie
anemometer,anemr
anionics,anios
answer,answr
areaLatitude,areLe
areaLongitude,areL0
areaNwkType,arNTe
areaRadius,areRs
aroh,aroh
as,as
atmosphericPressure,atmPe
attached,attad
audioVolume,audVe
autoDocumentFeeder,auDFr
automode,autoe
availStorage,avaSe
availableChannels,avaCs
availStorage,avaSe
backoffTime,bacTe
balance,balae
baliseSystemId,baSId
baliseTransmissionModule,baTMe
barometer,baror
barrierDefault,barDt
barrierStatus,barSs
basalMetabolism,basMm
bath,bath
battery,bat
batteryMaterial,batMl
batteryShape,batSe
batteryThreshold,batTd
billDeposit,bilDt
billingNumber,bilNr
billWithdrawal,bilWl
binaryObject,binOt
binarySwitch,binSh
bioElectricalImpedanceAnalysis,bEIAs
biotoxicity,bioty
blender,blenr
blue,blue
bmi,bmi
bod,bod
bodyCompositionAnalyser,boCAr
bodyLength,bodLh
bodyWaterMass,boWMs
boiler,boilr
boilingSwitch,boiSh
bone,bone
brewing,brewg
brewingSwitch,breSh
brightness,brigs
buttonFault,butFt
call,call
callerID,calID
callState,calSe
cancel,cancl
capacity,capay
cardInfo,carIo
cardScanner,carSr
cashDispenser,casDr
cd,cd
cellID,celID
certainty,certy
ch2o,ch2o
channel,chanl
channelId,chaId
channelName,chaNe
channelNumber,chaNr
charging,charg
chargingAmpere,chaAe
chargingCapacity,chaCy
chargingVoltage,chaVe
chlorophyll_a,chloa
clock,clock
close,close
clothesDryerJobMode,cDJMe
clothesDryerOperationMode,cDOMe
clothesWasherDryerJobMode,cWDJM
clothesWasherDryerOperationMode,cWDOM
clothesWasherJobMode,cWJMe
clothesWasherJobModeOption,cWJMO
clothesWasherOperationMode,cWOMe
cn,cn
co,co
co2,co2
coarseness,coars
cod,cod
code,code
coinDeposit,coiDt
coldWash,colWh
colour,color
colourSaturation,colSn
colourTemperature,colTe
commFreqValue,coFVe
communicationAlarm,comAm
component,compt
concentration,concn
conductivity,condy
connectivity,conny
contextCarbohydratesAmount,coCAt
contextCarbohydratesSource,coCSe
contextExercise,conEe
contextHealth,conHh
